supplier_id,supplier_name,country,region,industry,supplier_tier,established_year,employee_count,annual_revenue_millions,credit_rating,payment_terms_days,is_strategic_supplier,relationship_start_date,primary_contact_email,sustainability_score,certifications
SUP00001,Dynamic Manufacturing Inc,Brazil,Europe,Plastics,Tier 1,2011,250,1130.54,A,60,False,2021-03-09,procurement1@supplier1.com,86.3,"[""FDA"", ""ISO 9001"", ""ISO 14001""]"
SUP00002,Dynamic Components Ltd,India,North America,Textiles,Tier 1,2000,2500,1829.96,A,90,False,2022-11-30,procurement2@supplier2.com,82.5,"[""IATF 16949"", ""CE"", ""ISO 14001""]"
SUP00003,Premier Industries Inc,Turkey,Latin America,Electronics,Tier 1,1995,10000,2441.61,BBB,90,False,2019-10-18,procurement3@supplier3.com,68.4,"[""ISO 9001"", ""UL""]"
SUP00004,Dynamic Systems Co,Indonesia,North America,Plastics,Tier 3,2000,10000,4254.83,A,30,False,2021-04-16,procurement4@supplier4.com,43.5,"[""UL"", ""AS9100""]"
SUP00005,Global Technologies GmbH,Thailand,Latin America,Textiles,Tier 2,1990,500,444.0,BBB,60,False,2015-02-09,procurement5@supplier5.com,44.5,"[""UL""]"
SUP00006,Global Manufacturing Inc,UK,Europe,Pharmaceuticals,Tier 2,2016,10000,4030.3,A,60,False,2016-04-03,procurement6@supplier6.com,91.1,"[""IATF 16949"", ""FDA"", ""CE"", ""UL""]"
SUP00007,Premier Industries Co,Turkey,North America,Plastics,Tier 2,2015,500,282.99,BB,90,False,2015-11-05,procurement7@supplier7.com,99.4,"[""CE"", ""ISO 14001"", ""UL"", ""ISO 9001""]"
SUP00008,International Manufacturing Co,Japan,Middle East,Textiles,Tier 2,2014,10000,4212.36,BBB,60,False,2022-10-01,procurement8@supplier8.com,80.6,"[""CE""]"
SUP00009,Premier Systems Co,Brazil,Asia Pacific,Chemicals,Tier 3,1998,50,262.92,AA,45,False,2016-09-02,procurement9@supplier9.com,66.8,"[""ISO 45001"", ""CE""]"
SUP00010,United Industries GmbH,Vietnam,Latin America,Metals,Tier 1,1999,250,96.12,A,45,False,2021-02-12,procurement10@supplier10.com,78.9,"[""UL"", ""ISO 9001"", ""AS9100"", ""ISO 14001"", ""CE""]"
