contract_id,supplier_id,contract_type,content,created_date,expiry_date,status
CONTRACT_0001,SUP_0019,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on October 27, 2025 between Griffin, Moore and Hensley (""Buyer"") 
and Green-Wright (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 4 years.
- Supplier shall deliver products within 27 business days of order confirmation.
- Late deliveries may result in penalties of up to 15% of order value.

PRICING AND PAYMENT:
- Unit price: $103.79956344477583 per unit.
- Payment terms: Net 90 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.03144333000343089%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 30 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-07-14,2027-01-14,Active
CONTRACT_0002,SUP_0063,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on September 02, 2025 between Washington, Allen and Gonzales (""Buyer"") 
and Mitchell, Nelson and Flores (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 2 years.
- Supplier shall deliver products within 21 business days of order confirmation.
- Late deliveries may result in penalties of up to 11% of order value.

PRICING AND PAYMENT:
- Unit price: $472.7798055202087 per unit.
- Payment terms: Net 30 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.03945822932498513%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 90 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-06-06,2026-03-15,Active
CONTRACT_0003,SUP_0098,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on January 01, 2025 between Hall Ltd (""Buyer"") 
and Mccarthy Inc (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 4 years.
- Supplier shall deliver products within 16 business days of order confirmation.
- Late deliveries may result in penalties of up to 5% of order value.

PRICING AND PAYMENT:
- Unit price: $60.529467579957135 per unit.
- Payment terms: Net 45 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.006551871731645746%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 60 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-04-19,2027-08-05,Active
CONTRACT_0004,SUP_0066,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated March 17, 2025 is between Owens, Brown and Wall and Stein-Silva.

SCOPE OF SERVICES:
- Supplier shall provide IT Support services.
- Service level agreement: 99.53505881847423% uptime required.
- Response time: 20 hours for critical issues.

COMPENSATION:
- Monthly retainer: $18378.085563830013
- Additional services billed at $63.81004791237132 per hour.
- Payment due within 60 days of invoice.

LIABILITY:
- Supplier liability limited to $639140.1284353434 per incident.
- Indemnification clauses apply.
- Insurance coverage of $6612839.004612395 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 4 years.
",2025-08-06,2025-12-10,Active
CONTRACT_0005,SUP_0059,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated October 07, 2025 is between James, Smith and Bell and Castaneda-Ashley.

SCOPE OF SERVICES:
- Supplier shall provide IT Support services.
- Service level agreement: 97.57620547583977% uptime required.
- Response time: 2 hours for critical issues.

COMPENSATION:
- Monthly retainer: $43974.303512526116
- Additional services billed at $192.01005933850934 per hour.
- Payment due within 45 days of invoice.

LIABILITY:
- Supplier liability limited to $195315.22396338187 per incident.
- Indemnification clauses apply.
- Insurance coverage of $2393457.513379479 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 4 years.
",2025-04-20,2028-02-24,Pending
CONTRACT_0006,SUP_0046,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated August 26, 2025 is between Payne, Morrison and Walker and Nelson Group.

SCOPE OF SERVICES:
- Supplier shall provide IT Support services.
- Service level agreement: 96.88950621304167% uptime required.
- Response time: 7 hours for critical issues.

COMPENSATION:
- Monthly retainer: $16389.569263082394
- Additional services billed at $117.53813692143355 per hour.
- Payment due within 30 days of invoice.

LIABILITY:
- Supplier liability limited to $961822.9135754356 per incident.
- Indemnification clauses apply.
- Insurance coverage of $4591317.858781912 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 2 years.
",2024-11-20,2027-07-07,Active
CONTRACT_0007,SUP_0027,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated March 19, 2025 is between Shelton, Powell and Martin and Calhoun-Hooper.

SCOPE OF SERVICES:
- Supplier shall provide Consulting services.
- Service level agreement: 99.36127942477974% uptime required.
- Response time: 21 hours for critical issues.

COMPENSATION:
- Monthly retainer: $46154.689873185154
- Additional services billed at $115.10314590631383 per hour.
- Payment due within 45 days of invoice.

LIABILITY:
- Supplier liability limited to $332840.47793989687 per incident.
- Indemnification clauses apply.
- Insurance coverage of $4909629.8710594885 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 2 years.
",2025-06-04,2025-12-21,Active
CONTRACT_0008,SUP_0069,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated October 27, 2025 is between Vargas-Alvarado and Day and Sons.

SCOPE OF SERVICES:
- Supplier shall provide Maintenance services.
- Service level agreement: 98.20457105246503% uptime required.
- Response time: 21 hours for critical issues.

COMPENSATION:
- Monthly retainer: $44486.15209945168
- Additional services billed at $160.80847260898497 per hour.
- Payment due within 45 days of invoice.

LIABILITY:
- Supplier liability limited to $112370.99861021072 per incident.
- Indemnification clauses apply.
- Insurance coverage of $3235386.3433282017 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 2 years.
",2025-10-11,2027-10-28,Active
CONTRACT_0009,SUP_0077,Service Contract,"
SERVICE CONTRACT

This Service Contract (""Contract"") dated January 18, 2025 is between Green LLC and Gibson LLC.

SCOPE OF SERVICES:
- Supplier shall provide Maintenance services.
- Service level agreement: 95.39763097482758% uptime required.
- Response time: 16 hours for critical issues.

COMPENSATION:
- Monthly retainer: $19986.569231242927
- Additional services billed at $182.74464622708817 per hour.
- Payment due within 45 days of invoice.

LIABILITY:
- Supplier liability limited to $444955.81567798124 per incident.
- Indemnification clauses apply.
- Insurance coverage of $5441508.929389674 required.

CONFIDENTIALITY:
- Both parties agree to maintain confidentiality.
- Non-disclosure period: 4 years.
",2025-08-31,2027-06-21,Pending
CONTRACT_0010,SUP_0054,Supply Agreement,"
SUPPLY AGREEMENT

This Supply Agreement (""Agreement"") is entered into on February 25, 2025 between King-Miller (""Buyer"") 
and Curry Inc (""Supplier"").

TERM AND DELIVERY:
- The initial term of this Agreement shall be 2 years.
- Supplier shall deliver products within 12 business days of order confirmation.
- Late deliveries may result in penalties of up to 5% of order value.

PRICING AND PAYMENT:
- Unit price: $134.14501332923408 per unit.
- Payment terms: Net 60 days.
- Price adjustments may occur quarterly based on market conditions.

QUALITY AND WARRANTIES:
- Supplier warrants that all products meet ISO 9001 standards.
- Defect rate must not exceed 0.026551002184177126%.
- Buyer has right to reject non-conforming goods.

TERMINATION:
- Either party may terminate with 90 days written notice.
- Immediate termination for material breach.

RISK FACTORS:
- Force majeure clauses apply.
- Supplier responsible for compliance with all applicable laws.
",2025-03-24,2026-10-24,Pending
